,全国,53935,50251,47203
110000,北京,118198,106497,99994.52
120000,天津,115053,107960.09,105231.35
130000,河北,43062,40255,39984.28
140000,山西,35532,34918.71,35070
150000,内蒙古,72064,71100.54,71046.37
210000,辽宁,50791,65354.41,65201.18
220000,吉林,53868,51086,50162.29
230000,黑龙江,40432,39461.56,39226.33
310000,上海,116562,103795.54,97370
320000,江苏,96887,87995,81874.42
330000,浙江,84916,77643.69,73002.05
340000,安徽,39561,35996.56,34424.61
350000,福建,74707,67965.52,63471.66
360000,江西,40106,36724,34674
370000,山东,68733,64168.3,60879.1
410000,河南,42575,39122.61,37071.72
420000,湖北,55665,50653.85,47144.6
430000,湖南,46382,42753.86,40270.54
440000,广东,74016,67503,63469
450000,广西,38027,35190,33089.61
460000,海南,44347,40818,38923.7
500000,重庆,58502,52321,47850
510000,四川,40003,36775,35128.1
520000,贵州,33246,29847.25,26437
530000,云南,31093,28806,27263.63
540000,西藏自治区,35184,31999,29251.74
610000,陕西,51015,47626,46928.59
620000,甘肃,27643,26165.26,26432.92
630000,青海,43531,41252,39671
640000,宁夏,47194,43805,41833.81
650000,新疆,40564,40036,40648
110000,北京,118198,106497,99995
120000,天津,115053,107960,105231
130100,石家庄,54526,51043,48970
130200,唐山,80617,78398,80450
130300,秦皇岛,42095,40746,39282
130400,邯郸,35265,33450,32943
130500,邢台,26752,24256,22758
130600,保定,29945,29067,26501
130700,张家口,33030,30840,30540
130800,承德,40430,38505,38128
130900,沧州,46164,44819,42676
131000,廊坊,55549,54460,48407
131100,衡水,28920,27543,26022
140100,太原,68234,63483,59023
140200,大同,30032,30989,29607
140300,阳泉,41525,42688,44382
140400,长治,37027,35029,39196
140500,晋城,45271,44994,44943
140600,朔州,52010,51256,57368
140700,晋中,32646,31434,31434
140800,运城,23106,22304,22940
140900,忻州,22747,21731,21796
141000,临汾,27102,26239,27557
141100,吕梁,25896,25003,28960
150100,呼和浩特,116567,101492,95961
150200,包头,136021,132253,130676
150300,乌海,102725,100871,108556
150400,赤峰,44936,43269,41309
150500,通辽,62424,60123,60380
150600,鄂尔多斯,213378,207163,200152
150700,呼伦贝尔,64140,63131,60152
150800,巴彦淖尔,54480,53000,51872
150900,乌兰察布,44560,43221,41138
210100,沈阳,65851,87734,85816
210200,大连,97470,110682,109939
210300,鞍山,64069,64710,66860
210400,抚顺,57448,58597,61183
210500,本溪,67791,67656,67879
210600,丹东,31107.6,40850,42291
210700,锦州,43639,43207,44264
210800,营口,48713,61925,63234
210900,阜新,22866,29491,33882
211000,辽阳,56230,55674,54800
211100,盘锦,70110,87351,90615
211200,铁岭,22178,27885,32562
211300,朝阳,24025,28852,33379
211400,葫芦岛,28317,28176,28021
220100,长春,78667,73324,70891
220200,吉林,59652.4,56076,55548
220300,四平,37026,37714,36900
220400,辽源,63744,59855,56467
220500,通化,48100,45171,45378
220600,白山,57964,53136,53300
220700,松原,61558,58841,56868
220800,白城,37308,35571,34586
230100,哈尔滨,63445,59027,53872
230200,齐齐哈尔,25690,24430,23099
230300,鸡西,28647,28222,27881
230400,鹤岗,25244,24981,24154
