投诉者帐号名,介绍,是否认证,认证类型（机构/个人）,
蔚蓝地图,认证：北京市朝阳区公众环境研究中心污染地图APP,是,机构,
海盐环保,认证：浙江嘉兴市海盐县环保局官方微博,是,机构,
保卫楠溪江,认证：公益博主,是,个人,
节能环保技术超市,欢迎关注微信公众账号：eetmall。提供节能环保技术展示推广对...,否,,
Hyacinth-2014,"喜欢简单的生活,喜欢一个人静静地看书,喜欢和知心的朋友一起旅...",否,,
单酒窝妹妹,认证：  油品分析工,是,个人,
月泠风清,诚信互听互粉 文明上网 传播正能量 风倾云水 月泠风清 平平淡...,否,,
菠萝蜜恋歌,如果有什么事会让你愤怒，那你一定是一个对社会有用的人，好作...,否,,
联合青年,认证：精蜡厂一联合 职员,是,个人,
泠风2011,（互粉互转微博） 最奇妙的物质莫过于风，无色、无味、无形，...,否,,
龙再,,否,,
木儿0905,,否,,
萝卜白菜918,喜欢文学写作和旅游，喜欢结交天下朋友。,否,,
ml_nxsyyl,,否,,
银川住建,认证：银川市住房和城乡建设局（民防局）官方微博,是,机构,
山东空气观察团,“Air山东”民间空气观察,否,,
绿行齐鲁,认证：济南市绿行齐鲁环保公益服务中心,是,机构,
合肥刑事律师方文正,认证：安徽徽达律师事务所专职律师,是,个人,
好空气保卫侠,认证：北京市丰台区源头爱好者环境研究所好空气保卫侠,是,机构,
秦皇岛同城会,认证：秦皇岛同城会官方微博,是,机构,
善行河北,认证：善行河北官方微博,是,机构,
中国石化巴陵石化,认证：中国石化集团资产经营管理有限公司巴陵石化分公司,是,机构,
思源NJ,遇见你，我变得很低很低，一直低到尘埃里去，但我的心是欢喜的...,否,,
六朝松2011,认证：山东环境保护基金会 职员,是,个人,
睢宁发布,认证：睢宁县人民政府官方微博,是,机构,
绿色江南公众环境关注中心,认证：苏州工业园区绿色江南公众环境关注中心官方微博,是,机构,
设计狗de日常,自己的设计路，当狗也得走完,否,,
新泰环保,认证：山东省新泰市环境保护局官方微博,是,机构,
彤彤1234,,否,,
大苹果110,,否,,
海默先生,泰富外汇策略基金，为您的财富增值。 联系QQ：813075198,否,,
十月1898,没有最好，只有更好，年轻没有失败，努力就是天才,否,,
银川发布,认证：银川市委外宣办、市政府新闻办官方微博,是,机构,
检验检测大杨,认证：科学科普博主 头条文章作者,是,个人,
冰冻三尺Kim,已逐步转移到微信，请加微信：8260321,否,,
西安航空基地,认证：西安阎良国家航空高技术产业基地管委会官方微博,是,机构,
南京绿石,认证：绿石环境保护中心官方微博,是,机构,
龙港网站,认证：龙港网官方微博,是,机构,
美丽大唐,认证：中国大唐集团公司官方微博,是,机构,
名扬天下V,2017，美梦成真！,否,,
抗霾行动组,我们的宗旨：科普雾霾成因，提高环保意识；发动抗霾行动，实施...,否,,
张家港发布,认证：张家港市人民政府新闻办官方微博,是,机构,
中国-永联村,认证：江苏省张家港市南丰镇永联村民委员会官方微博,是,机构,
河南科技大学校媒记者团,认证：河南科技大学记者团官方微博,是,机构,
新浪无锡,认证：新浪无锡官方微博,是,机构,
老虫lovecandy,,否,,
魅力托克托,认证：中国内蒙古自治区呼和浩特市托克托县宣传部官方微博,是,机构,
李国栋v,认证：媒体人（呼和浩特） 内蒙古媒体人,是,个人,
马鞍山帮帮,认证：微博马鞍山同城大使 知名本地博主 #马鞍山#超级话题主持人 头条文章作者,是,个人,
跳爷绿领,认证：天津滨海环保咨询服务中心项目专员,是,个人,
诸葛亮晶晶艾特你,乌云乌云快走开☁️,否,,
Crystel鹃,,否,,
湘潭矛戈,认证：湘潭环境保护协会副秘书长,是,个人,
用户5240813827,,否,,
梦中乾坤大,天道酬勤 静水流深,否,,
中国水安全检测中心,认证：中国水安全检测中心公益项目,是,机构,
人民网温州频道,认证：人民网温州频道官方微博,是,机构,
葱葱AQQ,认证：姜堰市互联网协会 副会长 美食点评团成员,是,个人,
陕西魏延安,认证：共青团陕西省委农工部部长,是,个人,
和布克赛尔发布,认证：新疆塔城地区和布克赛尔县宣传部官方微博,是,机构,
雾霾总督察,,否,,
绿色江南方应君,认证：苏州工业园区绿色江南公众环境关注中心主任,是,个人,
永启2011,认证：济南市绿行齐鲁行动研究中心 执行主任郭永启,是,个人,
吴堡公安,认证：陕西省榆林市吴堡县公安局官方微博,是,机构,
清风一刻LiFE,淡淡的友情最诚，淡淡的问候最醇，淡淡的依恋最亲，淡淡的孤独...,否,,
永宁微博,认证：宁夏永宁县委、县人民政府官方微博,是,机构,
镇海发布,认证：宁波市镇海区委、区政府官方微博,是,机构,
镇海区环境科学学会,认证：宁波市镇海区环境科学学会官方微博,是,机构,
10陈浩然,,否,,
静舞-漫雪,下辈子做猫：永远被宠幸，姿态优雅，重要的是还有九条命！,否,,
深圳胖纸蝈蝈,胖纸一枚,否,,
相峰在深圳,认证：志愿者 尹相峰,是,个人,
深圳特区报,认证：深圳特区报官方微博,是,机构,
L-J_Q,,否,,
自然餐桌,自然的心你懂吗？,否,,
Oceary,只能把微博当做新闻平台来看了。,否,,
志愿者老木子,依心而行，无憾今生。,否,,
泰01,,否,,
开心的静曦,對人性的弱點有清醒的認識，但我永遠相信真誠的愛情，對愛情永...,否,,
不贫嘴会死星人,纵使姐有风情万种魅力无穷，不贫嘴依然会死的。,否,,
龙华资讯哥,正在创业研发智能产品，公司配套京东商城longwulp.jd.com，欢...,否,,
环境保护主义者联盟,认证：公益博主 头条文章作者,是,个人,
生态大塘,认证：佛山市三水区大塘镇人民政府官方微博,是,机构,
天山雪儿9,认证：中国石化安徽六安石油分公司 专职纪检员,是,个人,
宾语的廉政空间,认证：安徽法制网副总编，中纪委全国纪检监察期刊优秀作者,是,个人,
只转发不评论,,否,,
今晚煲什么汤,吩咐老婆煲汤,否,,
晓月堂主,认证：广州市环境保护工程设计院高级工程师,是,个人,
永川环保,认证：重庆市永川区环境保护局官方微博,是,机构,
公众环境马军,认证：《中国水危机》作者、公众与环境研究中心主任马军,是,个人,
丁进亮,认证：上海铁路局淮北车务段 副科长,是,个人,
