政府帐号名,介绍,级别,是否环保部门,行政区划
江西环保,认证：江西省环境保护厅官方微博,省,是,江西省
浙江环保,认证：浙江省环保厅官方微博,省,是,浙江省
浙江省环保厅团委,认证：浙江省环保厅团委官方微博,省,是,浙江省
江苏环保,认证：江苏省环保厅官方微博,省,是,江苏省
陕西环保,认证：陕西省环境保护厅官方微博,省,是,陕西省
上海环境,认证：上海市环境保护局官方微博,省,是,上海省上海市
安徽环保,认证：安徽省环境保护厅官方微博,省,是,安徽省
山东环境,认证：山东省环境保护厅官方微博,省,是,山东省
环保北京,认证：北京市环境保护局官方微博,省,是,北京省北京市
北京市环保局总量处,认证：北京市环保局污染物排放总量控制处官方微博,省,是（子部门）,北京省北京市
天津环保发布,认证：天津市环境保护局官方微博,省,是,天津省天津市
吉林省环境保护厅,认证：吉林省环境保护厅官方微博,省,是,吉林省
龙江环保,认证：黑龙江省环境保护厅官方微博,省,是,黑龙江省
新疆环境保护厅,认证：新疆维吾尔自治区环境保护厅官方微博,省,是,新疆省自治区
湖南省环境保护厅,认证：湖南省环境保护厅官方微博,省,是,湖南省
重庆环保,认证：重庆市环境保护局官方微博,省,是,重庆省重庆市
湖北环保,认证：湖北省环境保护厅官方微博,省,是,湖北省
陕西环保沙龙,认证：陕西省环境保护宣传教育中心下属办公室官方微博,省,是（子部门）,陕西省
贵州环保365,认证：贵州省环境保护厅官方微博,省,是,贵州省
云南省环保厅团委,认证：云南省环保厅团委官方微博,省,是,云南省
四川环保,认证：四川省环保厅官方微博,省,是,四川省
云南省环保厅,认证：云南省环境保护厅官方微博,省,是,云南省
辽宁环保,认证：辽宁省环境保护厅官方微博,省,是,辽宁省
甘肃环保,认证：甘肃省环境保护厅官方微博,省,是,甘肃省
刘帅168,认证：湖南省人大环境与资源保护委员会办公室副主任,省（官员）,是,湖南省
绿水青山总关情,认证：湖南省环境保护厅法宣处处长,省（官员）,是,湖南省
绿映春天,认证：四川省环保厅副厅长钟勤建,省（官员）,是,四川省
萍乡市环境保护局,认证：江西省萍乡市环境保护局官方微博,市,是,江西省萍乡市
南昌环境保护局发布,认证：江西省南昌市环保局官方微博,市,是,江西省南昌市
金华市环保局,认证：金华市环保局官方微博，主要以发布金华生态环保工作信息为主。,市,是,金华市
杭州环保,认证：浙江省杭州市环境保护局官方微博,市,是,浙江省杭州市
赣州市环境保护局,认证：江西省赣州市环境保护局官方微博,市,是,江西省赣州市
新余市环保,认证：新余市环境保护局,市,是,新余市
九江环保发布,认证：九江市环境保护局官方微博,市,是,九江市
宁波市环境保护局,认证：宁波市环境保护局官方微博,市,是,宁波市
温州环保,认证：浙江省温州市环境保护局官方微博,市,是,浙江省温州市
嘉兴环境保护,认证：浙江省嘉兴市环保局官方微博,市,是,浙江省嘉兴市
东莞环保,认证：东莞市环保局官方微博,市,是,东莞市
日照环境,认证：日照市环境保护局政务微博,市,是,日照市
绍兴-环保,认证：浙江省绍兴市环境保护局官方微博,市,是,浙江省绍兴市
合肥环保,认证：安徽省合肥市环保局官方微博,市,是,安徽省合肥市
环保宿州,认证：安徽省宿州市环境保护局官方微博,市,是,安徽省宿州市
西湖环保,认证：浙江省杭州市环境保护局西湖环境保护分局官方微博,市,是,浙江省杭州市
台州市环境保护局,认证：浙江省台州市环境保护局官方微博,市,是,浙江省台州市
无锡环保,认证：无锡市环境保护局官方微博,市,是,无锡市
铜陵环保,认证：安徽省铜陵市环保局官方微博,市,是,安徽省铜陵市
芜湖市环境保护局,认证：安徽省芜湖市环境保护局官方微博,市,是,安徽省芜湖市
