地方政府回应数(Y),微博投诉@数(X),@回应比例,地方政府回应的投诉发帖数,投诉发帖数,投诉回应比例,污染所在地区(S),人均国内生产总值(PGDP),企业特征(Enterprise),政府部门,政府部门级别,行政区划,企业名称,法人编号,污染所在地,行政编号,总转发量(Forward_all),总评论量(Comment_all),总点赞量(Praise_all),平均转发量(Forward),平均评论量(Comment),平均点赞量(Praise),中央/上级政府关注(Position),森林覆盖率(Forest),工业发电量(Industry),年份(year),平均回应时间/秒(Diff)
0,3,0.0,0.0,2.0,0.0,1,,,天津环保发布,省,天津省天津市,天津钢管制铁,700468296,天津市,120110,11,4,1,5.5,2.0,0.5,0.0,9.87,617.55,2014,0
1,23,0.0435,1.0,8.0,0.125,1,,,江苏环保,省,江苏省,江苏华电扬州发电,714106931,江苏省,321003,6,20,1,0.75,2.5,0.125,0.0,15.8,4709.37,2014,967067.0
0,1,0.0,0.0,1.0,0.0,1,,,唐山市环境保护局,市,河北省唐山市,唐山贝氏体钢铁（集团）福丰钢铁,741532995,河北省,130207,4,2,0,4.0,2.0,0.0,0.0,23.41,2630.59,2014,0
0,2,0.0,0.0,1.0,0.0,1,,,温州环保,市,浙江省温州市,温州伟明环保能源,692364816,浙江省,330302,2,6,0,2.0,6.0,0.0,0.0,59.07,3197.66,2014,0
0,2,0.0,0.0,2.0,0.0,1,,,唐山市环境保护局,市,河北省唐山市,唐山贝氏体钢铁（集团）,776181822,河北省,130207,16,4,0,8.0,2.0,0.0,0.0,23.41,2630.59,2014,0
0,7,0.0,0.0,3.0,0.0,1,,,温州环保,市,浙江省温州市,浙江温州特鲁莱发电,70432083800,浙江省,330382,5,6,0,1.6667,2.0,0.0,0.0,59.07,3197.66,2014,0
2,6,0.3333,2.0,2.0,1.0,1,,,威海环境,市,山东省威海市,华能烟台发电,16500590X,山东省,370602,0,100,0,0.0,50.0,0.0,0.0,16.73,5329.27,2014,3718837.5
3,7,0.4286,3.0,3.0,1.0,1,,,江苏环保,省,江苏省,江苏瑞洪盐业,788866546,江苏省,320829,33,27,1,11.0,9.0,0.3333,1.0,15.8,4709.37,2014,3354274.0
0,1,0.0,0.0,1.0,0.0,0,,,刘帅168,省,湖南省,湖南水口山有色金属集团,750642790,湖南省,430482,6,0,0,6.0,0.0,0.0,0.0,47.77,1385.09,2014,0
0,2,0.0,0.0,1.0,0.0,1,,,济南环保,市,济南市,济南达利食品,777405904,山东省,370125,63,28,0,63.0,28.0,0.0,0.0,16.73,5329.27,2014,0
