地方政府回应数(Y),微博投诉@数(X),@回应比例,地方政府回应的投诉发帖数,投诉发帖数,投诉回应比例,污染所在地区(S),人均国内生产总值(PGDP),企业状态,登记注册类型,企业规模,行业类别代码,行业类别名称,工业总产值当年价格万元,年正常生产时间小时,政府部门,政府部门级别,行政区划,企业名称,法人编号,污染所在地,行政编号,总转发量(Forward_all),总评论量(Comment_all),总点赞量(Praise_all),平均转发量(Forward),平均评论量(Comment),平均点赞量(Praise),中央/上级政府关注(Position),森林覆盖率(Forest),工业发电量(Industry),年份(year),平均回应时间/秒(Diff)
0,3,0.0,0.0,2.0,0.0,0,40270.54,,,,,,,,刘帅168,省,湖南省,湘潭市河东污水处理厂,794716552,湖南省,430304,12,6,0,6.0,3.0,0.0,0.0,47.77,1385.09,2014,0
0,1,0.0,0.0,1.0,0.0,0,46928.59,,,,,,,,陕西环保,省,陕西省,铜川市新耀污水处理厂,694940100,陕西省,610204,27,4,1,27.0,4.0,1.0,0.0,41.42,1757.41,2014,0
0,1,0.0,0.0,1.0,0.0,0,46928.59,,,,,,,,陕西环保,省,陕西省,铜川市污水处理厂,776981790,陕西省,610202,27,4,1,27.0,4.0,1.0,0.0,41.42,1757.41,2014,0
0,1,0.0,0.0,1.0,0.0,0,47850,,,,,,,,重庆环保,省,重庆省重庆市,沱口污水处理厂,6053084702,重庆市,500101,1,2,0,1.0,2.0,0.0,0.0,38.43,701.19,2014,0
0,2,0.0,0.0,1.0,0.0,1,81874.42,,,,4411,火力发电,,,扬州环保,市,江苏省扬州市,江苏国信扬州发电,682192061,江苏省,321003,1,0,0,1.0,0.0,0.0,0.0,15.8,4709.37,2014,0
0,2,0.0,0.0,1.0,0.0,1,73002.05,,,,4411,火力发电,,,浙江环保,省,浙江省,浙江温州特鲁莱发电,70432083800,浙江省,330382,1,2,0,1.0,2.0,0.0,0.0,59.07,3197.66,2014,0
1,1,1.0,1.0,1.0,1.0,0,40270.54,,,,,,,,湘潭市环境保护局,市,湖南省湘潭市,湘潭市污水处理,712128766,湖南省,430302,2,3,0,2.0,3.0,0.0,0.0,47.77,1385.09,2014,95132.0
1,2,0.5,1.0,1.0,1.0,1,73002.05,,,,1713,棉印染精加工,,,浙江环保,省,浙江省,绍兴市金丰印染,146010092,浙江省,330000,43,9,0,43.0,9.0,0.0,0.0,59.07,3197.66,2014,74607.0
1,3,0.3333,1.0,1.0,1.0,1,73002.05,,,,4411,火力发电,,,威海环境,市,山东省威海市,浙江浙能乐清发电,77570367600,浙江省,330382,1,50,0,1.0,50.0,0.0,0.0,59.07,3197.66,2014,3571457.0
1,3,0.3333,1.0,1.0,1.0,1,73002.05,,,,4411,火力发电,,,山东环境,省,山东省,浙江浙能乐清发电,77570367600,浙江省,330382,1,50,0,1.0,50.0,0.0,0.0,59.07,3197.66,2014,3571457.0
0,4,0.0,0.0,2.0,0.0,1,26446,,,,3041,平板玻璃制造,,,菏泽环境,市,菏泽市,山东巨润建材,672204911,山东省,371724,0,2,0,0.0,1.0,0.0,0.0,16.73,5329.27,2014,0
0,1,0.0,0.0,1.0,0.0,1,72706,,,,2621,氮肥制造,,,姜堰环保,县,泰州市,姜堰市化肥,704009513,江苏省,321284,4,5,0,4.0,5.0,0.0,0.0,15.8,4709.37,2014,0
0,1,0.0,0.0,1.0,0.0,0,34674,,,,3011,水泥制造,,,江西环保,省,江西省,江西玉山万年青水泥,73918862X,江西省,361123,0,0,0,0.0,0.0,0.0,0.0,60.01,1085.35,2014,0
0,2,0.0,0.0,1.0,0.0,1,60879.1,,,,1419,饼干及其他焙烤食品制造,,,山东环境,省,山东省,济南达利食品,777405904,山东省,370125,63,28,0,63.0,28.0,0.0,0.0,16.73,5329.27,2014,0
0,1,0.0,0.0,1.0,0.0,1,81874.42,,,,4411,火力发电,,,江苏环保,省,江苏省,国电江苏谏壁发电,733742773,江苏省,321102,0,0,0,0.0,0.0,0.0,0.0,15.8,4709.37,2014,0
0,2,0.0,0.0,1.0,0.0,1,102652,,,,3011,水泥制造,,,镇江环保局,市,镇江市,句容台泥水泥,60893071600,江苏省,321183,4,2,0,4.0,2.0,0.0,0.0,15.8,4709.37,2014,0
