股道热肠也,长安汽车(SZ000625)《长安汽车：多车型销量下滑 自主“老大哥”如何“守位”？》: 长安汽车：多车型销量下滑 自主“老大哥”如何“守位”？ 张渝 2016年，重庆长安汽车股份有限公司（000625.SZ，以下简称“长安汽车”）旗下自主与合资品牌纷纷发力，...（ 分享自@雪球 客户端） 长安汽车(SZ000625)《长安汽车：多车型销量下滑 自主“老大哥”如何“守位”？》:  ​,6,5,6,2017-01-23 16:20:21,https://weibo.cn/comment/Esa0z2KJZ?uid=2820792015&rl=1#cmtfrm,重庆长安汽车股份,,,,@雪球
自主品牌车频道,#自主车闻# 【自主新闻】长安汽车召回    近日，重庆长安汽车股份有限公司根据《缺陷汽车产品召回管理条例》的要求，向国家质检总局备案了召回计划，决定召回部分CX20和欧力威车型，共计185299辆。(一)自即日起，召回2014年3月20日至2016年3月2日（含）生产的CX20汽车，共计76657辆。 （二）自2017年3月1日起，召回2012年11月7日至2015年11月13日（含）生产的长安欧力威汽车，涉及数量108642辆。#关你车事# @长安汽车,7,4,1,2017-01-04 22:40:38,https://weibo.cn/comment/EpjnutaH6?uid=3494530843&rl=1#cmtfrm,重庆长安汽车股份,,,,@长安汽车
菏泽环境,山东空气观察#二氧化硫和烟尘长时间超标准10倍排放，请@菏泽环境 注意 2017年01月20日10点，山东玉皇化工有限公司在线监测数据，希望排放浓度高的企业作出公开说明！#蔚蓝地图# @菏泽环境 @绿行齐鲁 @蔚蓝地图 http://t.cn/RMD4zKV ​,2,2,0,2017-01-20 10:53:00,https://weibo.cn/comment/ErFnZmfKa?rl=1#cmtfrm,山东玉皇化工,1,抒一纸时光,转发理由:您好，关于您反映的“山东玉皇化工有限公司二氧化硫和烟尘长时间超标准10倍排放”的环境问题，我们将及时转交给相关科室进行核实查处，感谢您对环保工作的支持。      ,@菏泽环境,@菏泽环境,@绿行齐鲁,@蔚蓝地图
虹芑北京律师,草控制可以节省大量资金并拯救数以百万计的生命- 根据世卫组织和美国国家癌症研究所联袂发表的一份极为重要的新的全球报告，实行烟草税收和价格上涨等控烟政策可为政府带来大量收入，进而为卫生和发展工作提供资金。http://t.cn/RM9tG8t @世界卫生组织 ​,0,27,0,2017-01-19 12:32:28,https://weibo.cn/comment/Erwzinfu2?rl=1#cmtfrm,山东玉皇化工,1,美国驻华大使馆,,@世界卫生组织,@路易斯安那州立大学CSSA,@蝴蝶飞飞Jevonnie,@奈何欤之,@密西西比的阳光,@密西西比学院MississippiCollege,@南密西西比大学学联
曲靖供电局,曲靖供电局1月20日停复电温馨提示：（1）1月20日12:00—17:00，10kV水二厂线7号杆创业水务有限公司支线后段线路；曲靖创业水务有限公司2号配电室减容工程（线路修理部分...（分享自 @长微博工具） ​,0,0,1,2017-01-19 22:08:59,https://weibo.cn/comment/ErAA5n94i?uid=3066278047&rl=1#cmtfrm,曲靖创业水务,,,,@长微博工具
SDARIMARKETING,#SDARI设计#热烈祝贺@上海船厂船舶有限公司 中远海运特运28000吨多用途重吊船首制船命名交船仪式顺利！鸡年“大吉”呀！ ​,1,0,0,2017-01-13 14:45:01,https://weibo.cn/comment/EqD6U1M1l?uid=2782119682&rl=1#cmtfrm,上海船厂船舶,,,,@上海船厂船舶有限公司
SDARIMARKETING,上海船厂岁末年初造船生产高潮迭起捷报连连】1月6日下午，上海船厂船舶有限公司为意大利SCORPIO公司建造的第五艘82000吨散货船签字交付，为公司造船生产打响了新年第一枪。从2016年12月至今，在岁末年初的这段时间里，上海船厂造船生产可谓是高潮迭起捷报连连...... http://t.cn/RMIBw6M ​,0,1,0,2017-01-09 16:41:26,https://weibo.cn/comment/Eq1DtAHwr?rl=1#cmtfrm,上海船厂船舶,1,中国船舶与海洋工程网,,@上海船厂船舶有限公司
心无所依0021,分享自用户3659363092《铁法煤业集团董事长、总经理边路明贪污腐败》 - 铁法煤业集团建设工程有限责任公司  董事长、总经理边路明贪污腐败触目惊心  2015年1月25日(腊月初六)晚10时40...  (来自 @头条博客)   铁法煤业集团董事长、总经理边路明贪污腐败 ​,1,1,0,2017-01-13 08:40:58,https://weibo.cn/comment/EqAJ8wqMu?uid=5737551267&rl=1#cmtfrm,铁法煤业（集团）,,,,@头条博客
鄂托克前旗发布,#鄂前旗新闻# @鄂尔多斯发布 @鄂尔多斯市委宣传部 @内蒙古观察 1月13日，旗委副书记、政府代旗长布仁其木格同国电电力发展股份有限公司副总经理李忠军进行座谈，双方就加快上海庙能源化工基地、国电双维电厂建设等工作进行对接洽谈。http://t.cn/RM1esgj ​,2,0,16,2017-01-19 10:02:25,https://weibo.cn/comment/ErvPagbv9?uid=2370504027&rl=1#cmtfrm,国电电力发展股份,,,,@鄂尔多斯发布,@鄂尔多斯市委宣传部,@内蒙古观察
沈阳车辆段,#沈辆动态#为确保春运旅客运输，大连运用运用车间开展车门专项整治，车上班职工给发电车侧门安装防雨压板，确保列车运用质量。@沈阳铁路 ​,0,0,0,2017-01-16 08:28:02,https://weibo.cn/comment/Er2VnaTY3?uid=3147975361&rl=1#cmtfrm,大连发电,,,,@沈阳铁路
