表格 1,,,,,,,,,,,,,,,,,,,,,,
股道热肠也,长安汽车(SZ000625)《长安汽车：多车型销量下滑 自主“老大哥”如何“守位”？》: 长安汽车：多车型销量下滑 自主“老大哥”如何“守位”？ 张渝 2016年，重庆长安汽车股份有限公司（000625.SZ，以下简称“长安汽车”）旗下自主与合资品牌纷纷发力，...（ 分享自@雪球 客户端） 长安汽车(SZ000625)《长安汽车：多车型销量下滑 自主“老大哥”如何“守位”？》:,6,5,6,2017-01-23 16:20:21,https://weibo.cn/comment/Esa0z2KJZ?uid=2820792015&rl=1#cmtfrm,重庆长安汽车股份,,,,@雪球,,,,,,,,,,,
一代黄牛,有时候也觉得在错误的时间买了正确的长安。不能相爱在风华正茂时，唯有等她长发及腰吧。,2017-01-23 21:48:16,,,,,,,,,,,,,,,,,,,,
民族伟大复兴力量,股总，报到，今天建仓长安汽车，看好中国汽车市场发展，说不定就是下一个丰田汽车。,2017-01-23 16:27:57,,,,,,,,,,,,,,,,,,,,
我是孟浩然,买了长安[吃惊],2017-01-23 16:27:17,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
自主品牌车频道,#自主车闻# 【自主新闻】长安汽车召回    近日，重庆长安汽车股份有限公司根据《缺陷汽车产品召回管理条例》的要求，向国家质检总局备案了召回计划，决定召回部分CX20和欧力威车型，共计185299辆。(一)自即日起，召回2014年3月20日至2016年3月2日（含）生产的CX20汽车，共计76657辆。 （二）自2017年3月1日起，召回2012年11月7日至2015年11月13日（含）生产的长安欧力威汽车，涉及数量108642辆。#关你车事# @长安汽车,7,4,1,2017-01-04 22:40:38,https://weibo.cn/comment/EpjnutaH6?uid=3494530843&rl=1#cmtfrm,重庆长安汽车股份,,,,@长安汽车,,,,,,,,,,,
自主品牌车频道,回复@就找虾米哥:🤓🤓,2017-01-05 12:23:23,,,,,,,,,,,,,,,,,,,,
就找虾米哥,长安车主飘过,2017-01-05 02:35:52,,,,,,,,,,,,,,,,,,,,
音乐鉴赏汇,还好没有买,2017-01-04 23:54:43,,,,,,,,,,,,,,,,,,,,
自主品牌车资讯,唉,2017-01-04 23:52:24,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
菏泽环境,山东空气观察#二氧化硫和烟尘长时间超标准10倍排放，请@菏泽环境 注意 2017年01月20日10点，山东玉皇化工有限公司在线监测数据，希望排放浓度高的企业作出公开说明！#蔚蓝地图# @菏泽环境 @绿行齐鲁 @蔚蓝地图 http://t.cn/RMD4zKV,2,2,0,2017-01-20 10:53:00,https://weibo.cn/comment/ErFnZmfKa?rl=1#cmtfrm,山东玉皇化工,1,抒一纸时光,转发理由:您好，关于您反映的“山东玉皇化工有限公司二氧化硫和烟尘长时间超标准10倍排放”的环境问题，我们将及时转交给相关科室进行核实查处，感谢您对环保工作的支持。,@菏泽环境,@菏泽环境,@绿行齐鲁,@蔚蓝地图,,,,,,,,
山东空气观察团,企业超标排放提醒，请@菏泽环境 注意,2017-01-20 10:58:52,,,,,,,,,,,,,,,,,,,,
菏泽环境,您好，关于您反映的“山东玉皇化工有限公司二氧化硫和烟尘长时间超标准10倍排放”的环境问题，我们将及时转交给相关科室进行核实查处，感谢您对环保工作的支持。,2017-01-20 10:53:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
虹芑北京律师,草控制可以节省大量资金并拯救数以百万计的生命- 根据世卫组织和美国国家癌症研究所联袂发表的一份极为重要的新的全球报告，实行烟草税收和价格上涨等控烟政策可为政府带来大量收入，进而为卫生和发展工作提供资金。http://t.cn/RM9tG8t @世界卫生组织,0,27,0,2017-01-19 12:32:28,https://weibo.cn/comment/Erwzinfu2?rl=1#cmtfrm,山东玉皇化工,1,美国驻华大使馆,,@世界卫生组织,@路易斯安那州立大学CSSA,@蝴蝶飞飞Jevonnie,@奈何欤之,@密西西比的阳光,@密西西比学院MississippiCollege,@南密西西比大学学联,,,,,
有点咸的调味料,支持提高烟草税,2017-01-19 12:04:09,,,,,,,,,,,,,,,,,,,,
大咖莉,熊猫是中国的象征，特朗普还没上台，中国的熊猫已经死了两个，大大的不吉利！,2017-01-19 12:47:42,,,,,,,,,,,,,,,,,,,,
炮灰团龙文章,为什么不关闭烟厂减少种植面积？以控烟为名，敛财是实！[话筒][话筒][话筒],2017-01-19 12:08:09,,,,,,,,,,,,,,,,,,,,
Dynamics之照妖mirror,save lot of money！!,2017-01-20 01:12:54,,,,,,,,,,,,,,,,,,,,
Dynamics之照妖mirror,cancel Trump's protection also can lot of money...   let him list tax...！！ [肥皂][肥皂][肥皂],2017-01-20 01:11:47,,,,,,,,,,,,,,,,,,,,
怀恩妮妮,看到评论，这真是一个可怕的神奇的国度。,2017-01-19 22:53:14,,,,,,,,,,,,,,,,,,,,
赵宏男,转发微博,2017-01-19 16:27:48,,,,,,,,,,,,,,,,,,,,
乐在寂静中,政府一边拿着香烟销售带来的巨额利润一边假惺惺的喊着吸烟有害健康，很虚伪的画面,2017-01-19 15:28:18,,,,,,,,,,,,,,,,,,,,
BradenBao,你好，我想借出被审核签证的护照，等了一个星期没有任何回音，请问我除了等待能不能做着什么有用的事,2017-01-19 13:46:54,,,,,,,,,,,,,,,,,,,,
大咖莉,熊猫是中国的象征，特朗普还没上台，中国的熊猫已经死了两个，大大的不吉利！,2017-01-19 12:47:42,,,,,,,,,,,,,,,,,,,,
李代明,赞成！[赞],2017-01-19 12:41:38,,,,,,,,,,,,,,,,,,,,
虹芑北京律师,@头条新闻@南京头条@中国工商报@中国记协@新京报@南方周末@南方都市报@北美时尚快报@广州日报@南方日报@扬子晚报@羊城晚报@都市快报@环球市场播报@法制晚报@中国经营报@现代快报@人民日报@英国报姐@中国日报@青年时报@新快报@21世纪经济报道@联合国@非诚勿扰@手机读报,2017-01-19 12:33:14,,,,,,,,,,,,,,,,,,,,
虹芑北京律师,山东玉皇化工（集团）子公司玉皇化工有限公司计划投资18.5亿美元在美国路易斯安那州圣詹姆斯教区的密西西比河岸边新建一座世界级的甲醇厂。@路易斯安那州立大学CSSA@hopeph @蝴蝶飞飞Jevonnie@奈何欤之 @密西西比的阳光@密西西比学院MississippiCollege@南密西西比大学学联,2017-01-19 12:32:27,,,,,,,,,,,,,,,,,,,,
虹芑北京律师,美国，满清时，你无视民众苦难和清政府勾肩搭背，在1941年为日本提供钢铁和燃油等军需物资，现在，又在为吃人的毒工厂站台，你们喜欢和妓女联合成为一体，你们的德性连婊子都不如@美国驻华大使馆@美國駐港總領事館 @美国使馆签证处 @美国驻上海总领事馆签证处 @美国驻华使领馆商务处@联合国,2017-01-19 12:31:33,,,,,,,,,,,,,,,,,,,,
虹芑北京律师,美国，现在我想给你们说的是，你们为吃人毒工厂站台，比给婊子站台都让人感到恶心。你们的协同作恶，可让毒工厂在发展中国家更肆无忌惮的吃人@美国驻华大使馆@美國駐港總領事館 @美国使馆签证处 @美国驻广州总领事馆 @美国驻成都总领事馆 @美国驻上海总领事馆签证处 @美国驻华使领馆商务处@联合国,2017-01-19 12:31:02,,,,,,,,,,,,,,,,,,,,
智慧敏杰,不吸烟草吸大麻,2017-01-19 12:23:41,,,,,,,,,,,,,,,,,,,,
虹芑北京律师,央屎13宣扬一个村长，在美国国投资十多亿修建甲醇厂。化工厂如猛兽，控制好了造福，控制不好吃人，村长控制中国500强的化工厂，不吃人是奇迹。@美国驻华大使馆@美國駐港總領事館 @美国使馆签证处 @美国驻广州总领事馆 @美国驻成都总领事馆 @美国驻上海总领事馆签证处 @美国驻华使领馆商务处@联合国,2017-01-19 12:14:16,,,,,,,,,,,,,,,,,,,,
